V1	VCF0009x	VCF0010x	VCF0011x	VCF0009y	VCF0009z	VCF0010z	VCF0011z	VCF0018a	VCF0050a	VCF0071c	VCF0102	VCF0104	VCF0106	VCF0108	VCF0112	VCF0113	VCF0114	VCF0118	VCF0127	VCF0128	VCF0130a	VCF0140	VCF0143	VCF0146	VCF0147	VCF0148a	VCF0149	VCF0156	VCF0157	VCF0209	VCF0210	VCF0211	VCF0212	VCF0218	VCF0223	VCF0224	VCF0227	VCF0228	VCF0232	VCF0233	VCF0253	VCF0290	VCF0291	VCF0303	VCF0305	VCF0310	VCF0346	VCF0349	VCF0358	VCF0359	VCF0360	VCF0361	VCF0370	VCF0371	VCF0372	VCF0373	VCF0374	VCF0380	VCF0386	VCF0392	VCF0412	VCF0413	VCF0414	VCF0415	VCF0424	VCF0425	VCF0426	VCF0427	VCF0428	VCF0450	VCF0475	VCF0481	VCF0487	VCF0493	VCF0501	VCF0502	VCF0503	VCF0504	VCF0605	VCF0606	VCF0609	VCF0613	VCF0624	VCF0648	VCF0649	VCF0656	VCF0703	VCF0704	VCF0719	VCF0721	VCF0723a	VCF0729	VCF0733	VCF0734	VCF0741	VCF0801	VCF0804	VCF0806	VCF0809	VCF0823	VCF0830	VCF0838	VCF0839	VCF0843	VCF0846	VCF0847	VCF0849	VCF0850	VCF0851	VCF0852	VCF0853	VCF0854	VCF0867	VCF0870	VCF0871	VCF0872	VCF0876	VCF0878	VCF0879a	VCF0880	VCF0881	VCF0886	VCF0887	VCF0888	VCF0890	VCF0894	VCF0903	VCF0905	VCF0991	VCF0992	VCF1011	VCF9005	VCF9009	VCF9013	VCF9016	VCF9017	VCF9018	VCF9021	VCF9022	VCF9023	VCF9027	VCF9028	VCF9029	VCF9030a	VCF9030b	VCF9030c	VCF9031	VCF9032	VCF9039	VCF9040	VCF9041	VCF9042	VCF9045	VCF9047	VCF9048	VCF9049	VCF9054	VCF9069	VCF9081	VCF9084	VCF9085	VCF9086	VCF9087	VCF9088	VCF9089	VCF9092	VCF9093	VCF9094	VCF9095	VCF9096	VCF9122	VCF9131	VCF9132	VCF9133	VCF9201	VCF9202	VCF9203	VCF9204	VCF9205	VCF9206	VCF9207	VCF9208	VCF9209	VCF9210	VCF9211	VCF9212	VCF9213	VCF9214	VCF9215	VCF9216	VCF9217	VCF9218	VCF9219	VCF9220	VCF9221	VCF9222	VCF9223	VCF9224	VCF9225	VCF9226	VCF9227	VCF9228	VCF9229	VCF9230	VCF9232	VCF9233	VCF9234	VCF9235	VCF9236	VCF9237	VCF9238	VCF9239	VCF9240	VCF9241	VCF9242	VCF9243	VCF9244	VCF9245	VCF9246	VCF9247	VCF9248	VCF9249	VCF9250	VCF9251	VCF9252	VCF9253	VCF9255	VCF9256	VCF9257	VCF9258	VCF9259	VCF9260	VCF9261	VCF9262	VCF9265	VCF9267	VCF9268	VCF9269	VCF9270	VCF9271	VCF9272	VCF9273	VCF9275	VCF9277	VCF9278	VCF9279	VCF9280	VCF9281	VCF9282
1	0.887	0.887	0.887	0	0.827	0.827	0.827	0	3	1	2	1	1	2	3	1	3	1	2	1	4	3	1	1	1	3	3	5	5	70	50	50	70	0	70	70	30	70	15	0	50	35	15	3	4	3	1	2	1	1	1	2	1	1	1	1	5	1	1	5	43	8	35	15	0	0	85	70	0	2	5	1	1	5	2	2	1	5	1	1	2	1	1	50	0	0	3	2	1	1	1	1	4	9	2	59	3	6	7	2	7	2	6	6	1	3	5	1	1	4	2	4	5	5	5	1	5	5	5	2	2	1	1	1	1	3	1	1	1	5	1	70	5	2	4	1	4	5	1	0	2	2	3	2	2	2	5	3	5	1	1	5	1	1	1	1	1	1	2	1	1	5	1	1	6	5	6	3	6	6	2	2	1	1	1	9	2	1	3	3	1	9	5	5	4	5	2	2	3	1	2	2	3	3	3	2	2	2	3	5	2	3	2	1	2	4	4	2	1	1	2	2	9	1	9	1	4	2	3	1	1	3	5	3	4	5	3	2	2	2	3	2	1	2	2	15	50	100	4	7	4	4	2	3	2	1	2	1	1
2	1.16	1.16	1.16	0	1.08	1.08	1.08	0	2	1	2	1	1	2	3	1	3	1	2	4	5	6	1	2	2	4	1	5	5	40	50	50	60	15	50	85	50	50	50	0	50	50	15	3	3	3	2	2	1	1	2	2	2	2	2	2	5	1	1	1	43	8	74	51	0	75	85	85	30	2	5	5	1	5	2	2	2	6	1	1	3	2	2	75	50	0	3	2	1	1	1	2	7	9	2	54	3	1	4	2	7	4	4	6	2	5	5	3	3	1	3	1	5	3	3	3	1	5	5	2	2	2	1	2	1	3	2	1	1	5	1	50	5	1	4	4	3	1	1	0	1	2	1	2	2	2	5	3	2	3	3	4	1	1	1	2	1	1	4	2	1	6	2	1	6	6	7	2	6	6	3	1	1	1	4	6	1	7	2	2	4	6	3	5	1	5	2	3	2	3	2	2	3	2	2	2	2	2	2	3	1	2	1	1	3	7	4	3	2	5	2	1	6	3	7	2	3	3	3	3	1	1	5	3	4	5	2	1	2	2	1	2	1	2	2	50	50	50	4	5	1	1	2	1	2	1	2	1	1
7	4.251	4.251	4.251	0	3.96	3.96	3.96	0	2	1	5	1	2	2	1	2	4	1	1	1	4	2	5	1	1	1	4	5	5	50	70	85	85	85	97	15	50	60	85	50	50	50	85	1	4	2	2	1	2	1	1	1	1	1	2	2	5	5	5	1	43	93	45	35	85	30	0	60	97	1	1	5	5	5	2	1	4	4	1	1	3	3	3	50	100	0	3	1	1	2	1	2	1	1	2	49	2	6	1	2	1	4	7	5	1	3	5	2	1	2	1	3	5	5	4	3	1	1	3	2	1	1	1	1	1	2	2	2	1	5	1	85	1	1	4	1	1	1	1	0	1	1	1	1	1	1	5	3	2	1	1	3	3	1	1	1	1	1	5	3	3	6	2	3	4	7	5	3	6	2	2	2	1	2	10	5	1	1	1	2	8	5	2	1	1	4	5	5	3	5	1	2	2	1	2	1	4	1	1	2	1	1	2	1	2	4	4	1	1	2	1	1	8	7	4	2	3	3	3	1	1	3	4	3	3	4	2	1	2	2	2	2	1	2	1	100	50	100	2	5	2	2	1	1	1	1	2	1	1
8	1.032	1.032	1.032	0	0.962	0.962	0.962	0	1	1	5	2	1	2	1	2	5	1	1	2	5	3	1	1	7	3	3	5	5	40	70	30	40	0	97	40	85	40	97	40	40	20	30	2	1	3	1	2	1	1	2	2	2	2	1	1	5	1	1	5	50	15	43	8	15	0	85	85	0	2	5	1	1	1	2	2	1	7	1	1	1	2	3	50	100	0	3	2	1	2	2	2	7	9	2	54	2	7	7	2	7	3	2	5	1	3	5	2	3	2	2	2	5	5	4	3	1	1	5	2	3	3	1	1	1	3	2	2	5	5	1	85	5	1	2	4	4	1	1	0	2	1	1	1	2	1	5	3	5	4	2	5	1	3	3	1	2	4	4	4	1	7	3	2	6	7	7	4	7	6	2	1	1	2	3	7	1	2	3	1	2	10	5	4	3	5	1	2	2	2	2	2	3	2	3	2	3	1	3	4	1	1	2	1	1	1	4	4	1	2	2	2	6	1	8	2	4	2	3	3	3	3	5	4	4	5	2	1	1	2	1	1	1	2	1	70	85	85	2	2	3	2	2	1	2	1	1	1	1
12	1.25	1.25	1.25	0	1.166	1.166	1.166	0	1	1	6	1	1	2	2	2	3	1	2	1	4	5	1	2	1	1	3	5	5	40	40	0	85	15	85	50	60	0	50	15	15	33	33	1	3	3	1	2	1	1	2	2	2	2	1	1	5	1	1	5	43	8	50	15	0	15	85	85	0	2	5	1	1	1	2	2	2	6	1	1	1	1	2	0	50	0	3	2	1	2	3	2	2	9	2	91	3	6	5	2	4	2	3	7	1	1	5	2	3	2	1	2	5	3	3	1	1	1	5	1	2	1	2	1	1	3	2	2	5	5	1	30	5	1	5	5	1	5	1	0	1	2	1	2	2	2	5	5	5	2	3	4	1	3	1	1	1	4	2	6	2	5	2	1	7	2	6	2	7	7	2	1	1	1	1	8	1	2	3	1	0	10	5	5	5	5	3	1	1	1	2	2	3	3	4	2	2	2	3	4	1	1	1	1	3	6	4	1	1	1	2	1	7	1	7	1	4	2	3	3	1	3	5	1	2	5	1	2	2	2	2	1	1	2	1	60	50	100	3	3	3	3	2	1	2	1	1	1	1
13	0.36	0.36	0.36	0	0.335	0.335	0.335	0	1	1	5	2	1	2	2	2	2	1	2	1	0	6	1	2	3	4	1	5	5	50	85	85	40	85	85	30	85	30	85	50	85	58	78	1	4	3	1	1	2	2	1	1	1	1	2	2	1	5	5	1	43	93	68	68	85	85	0	50	85	1	1	1	1	1	2	2	3	7	2	2	2	2	2	100	50	75	3	1	1	1	2	2	7	1	2	26	1	2	4	2	2	4	5	3	1	3	1	2	4	4	4	2	1	1	2	3	1	1	1	1	1	1	1	1	1	2	2	2	1	5	1	40	1	2	4	5	3	1	1	0	1	2	1	2	2	2	5	3	1	4	5	2	3	1	1	2	1	1	4	2	3	5	5	3	6	7	7	2	7	6	1	2	1	2	9	3	1	1	1	3	8	0	1	2	1	3	4	4	5	5	1	1	3	1	3	1	4	2	1	2	1	2	2	1	3	7	4	2	2	4	1	2	4	3	10	2	4	2	1	3	1	1	4	2	4	5	2	1	1	1	1	1	1	2	1	70	60	85	4	4	3	4	3	1	2	1	1	1	2
15	0.868	0.868	0.868	0	0.808	0.808	0.808	0	1	2	4	1	3	1	3	2	4	1	2	2	5	6	5	1	1	1	6	5	5	60	70	85	30	70	70	15	85	40	85	70	70	43	78	1	4	3	1	1	1	1	1	1	1	1	1	2	1	5	5	1	43	93	64	84	85	97	0	30	85	1	1	1	1	1	2	2	3	7	1	3	2	2	3	100	100	50	3	1	2	2	4	2	5	1	1	21	1	3	3	2	3	4	5	4	2	5	1	3	4	3	2	2	1	1	2	3	1	1	1	1	2	1	1	2	1	1	1	1	1	5	1	70	1	1	5	4	2	5	1	0	1	1	3	2	2	2	1	1	2	4	4	2	1	1	1	2	2	2	5	3	3	5	2	3	6	7	6	3	5	6	2	2	1	2	9	2	1	1	1	2	9	0	3	2	1	3	3	4	4	5	1	1	2	1	2	1	3	1	1	2	1	1	3	1	3	7	4	2	2	5	1	1	3	3	9	2	2	3	1	3	1	1	4	2	4	5	2	1	1	1	1	1	1	1	1	60	60	60	3	4	3	2	3	1	2	1	1	1	1
16	0.258	0.258	0.258	0	0.242	0.242	0.242	0	3	1	6	1	1	2	4	2	3	3	2	4	5	6	1	1	3	4	1	0	0	70	85	85	97	30	97	70	70	60	97	15	97	50	30	3	4	2	1	1	1	1	2	1	1	2	1	1	5	1	1	5	69	22	45	55	40	50	97	40	40	2	1	1	1	1	1	2	2	6	1	2	1	1	2	0	50	25	3	2	1	1	2	2	1	9	2	55	3	5	5	1	6	4	2	4	2	5	5	3	2	2	1	3	5	3	3	3	1	1	3	2	2	3	3	1	3	3	1	2	1	5	1	97	5	1	2	3	1	1	1	0	2	1	3	2	2	2	5	0	4	2	2	4	1	1	1	3	2	1	5	2	2	6	2	2	4	6	5	3	5	6	1	1	1	1	5	8	1	2	3	2	6	9	3	3	3	3	2	2	3	2	2	2	2	3	2	2	2	2	3	5	1	1	1	2	3	5	2	1	1	1	1	1	8	3	8	2	3	1	3	1	3	3	5	2	3	5	3	2	2	2	2	2	1	2	2	100	100	100	2	2	3	1	1	3	2	1	2	1	2
17	1.891	1.891	1.891	0	1.76	1.76	1.76	0	1	1	2	2	1	2	1	2	4	1	2	2	4	6	1	1	1	4	1	5	5	40	50	85	30	70	97	15	97	30	97	85	97	43	78	1	4	3	1	1	1	2	1	1	1	1	2	2	1	5	5	1	43	93	50	85	85	85	0	15	85	1	1	5	1	1	2	2	2	6	1	2	3	2	2	75	50	25	3	1	1	1	2	2	4	1	1	21	1	3	2	2	2	4	6	4	2	5	1	2	4	2	4	1	1	1	2	3	1	1	1	2	2	1	1	1	1	1	2	2	1	5	2	70	1	1	4	4	2	1	1	0	1	1	1	2	2	2	5	3	1	5	4	2	3	1	1	3	1	2	6	2	3	7	1	3	7	7	7	1	7	7	2	2	1	2	8	3	1	1	2	2	9	0	1	2	1	3	5	5	4	5	1	1	2	1	2	1	4	2	1	2	1	1	2	2	3	7	4	2	2	4	1	2	3	1	9	2	2	2	1	3	1	1	5	3	4	4	2	1	1	1	1	1	1	1	1	100	50	50	4	4	2	1	3	1	2	1	1	1	1
20	0.573	0.573	0.573	0	0.538	0.538	0.538	0	2	2	2	2	1	2	4	2	1	1	2	4	5	5	1	2	2	1	4	1	1	40	75	70	60	40	50	80	50	60	97	15	40	60	30	3	3	3	1	1	1	1	2	2	1	2	1	1	5	1	1	5	50	10	55	55	10	60	90	50	20	2	1	1	1	5	2	2	2	6	1	2	2	2	3	100	100	25	3	2	1	1	2	2	0	9	2	44	1	6	5	1	7	4	4	3	2	5	1	3	5	2	4	1	5	3	3	3	1	1	5	3	1	3	1	1	1	3	2	2	1	1	1	90	5	3	3	2	3	1	1	0	2	2	1	1	2	1	5	5	4	1	2	3	1	1	1	1	1	1	6	1	2	6	2	4	2	6	6	2	6	6	1	2	1	1	5	9	1	2	3	2	0	9	3	5	3	5	1	2	1	1	2	2	3	3	4	2	1	2	2	3	1	1	2	1	1	2	4	2	1	1	1	2	6	3	8	2	3	3	3	3	1	1	5	3	3	5	2	1	1	2	3	2	1	2	2	40	90	50	2	5	2	2	2	1	2	1	1	2	2
